concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
74719,Ulcer of foot,Condition,SNOMED,Disorder,S,95345008,2002-01-31,2099-12-31,NA
193787,Varicose veins of lower extremity with ulcer AND inflammation,Condition,SNOMED,Disorder,S,69352009,2002-01-31,2099-12-31,NA
197304,Ulcer of lower extremity,Condition,SNOMED,Disorder,S,95344007,2002-01-31,2099-12-31,NA
443358,Ulcer of heel,Condition,SNOMED,Disorder,S,301022003,2002-01-31,2099-12-31,NA
443593,Ulcer of thigh,Condition,SNOMED,Disorder,S,428194005,2008-01-31,2099-12-31,NA
506759,Nonvascular ulcer of leg,Condition,SNOMED,Disorder,S,1054451000000109,2016-10-01,2099-12-31,NA
602349,Ulcer of foot due to drug induced diabetes mellitus,Condition,SNOMED,Disorder,S,368181000119101,2021-01-31,2099-12-31,NA
759861,Ulcer of left thigh,Condition,SNOMED,Disorder,S,10647831000119100,2015-09-01,2099-12-31,NA
759862,Ulcer of right thigh,Condition,SNOMED,Disorder,S,10647871000119102,2015-09-01,2099-12-31,NA
759865,Ulcer of left ankle,Condition,SNOMED,Disorder,S,10662631000119105,2015-09-01,2099-12-31,NA
759866,Ulcer of right ankle,Condition,SNOMED,Disorder,S,10662671000119108,2015-09-01,2099-12-31,NA
759867,Ulcer of left lower leg,Condition,SNOMED,Disorder,S,10666391000119103,2015-09-01,2099-12-31,NA
759868,Ulcer of right lower leg,Condition,SNOMED,Disorder,S,10666431000119108,2015-09-01,2099-12-31,NA
760946,Pressure injury of left foot stage IV,Condition,SNOMED,Disorder,S,12366701000119107,2016-03-01,2099-12-31,NA
761063,Neuropathic ankle ulcer due to diabetes mellitus type 2,Condition,SNOMED,Disorder,S,140421000119108,2016-03-01,2099-12-31,NA
761721,Inflammation of left thigh co-occurrent and due to varicose ulcer,Condition,SNOMED,Disorder,S,15942781000119102,2016-03-01,2099-12-31,NA
761722,Inflammation of right foot co-occurrent and due to varicose ulcer,Condition,SNOMED,Disorder,S,15943021000119105,2016-03-01,2099-12-31,NA
761723,Inflammation of right calf co-occurrent and due to varicose ulcer,Condition,SNOMED,Disorder,S,15943541000119105,2017-03-01,2099-12-31,NA
761724,Inflammation of skin of right lower leg co-occurrent and due to varicose ulcer,Condition,SNOMED,Disorder,S,15943581000119100,2016-03-01,2099-12-31,NA
761725,Inflammation of right lower leg co-occurrent and due to varicose ulcer,Condition,SNOMED,Disorder,S,15944141000119102,2016-03-01,2099-12-31,NA
761726,Inflammation of right thigh co-occurrent and due to varicose ulcer,Condition,SNOMED,Disorder,S,15944181000119107,2016-03-01,2099-12-31,NA
761727,Inflammation of left ankle co-occurrent and due to varicose ulcer,Condition,SNOMED,Disorder,S,15944701000119100,2016-03-01,2099-12-31,NA
761728,Inflammation of right ankle co-occurrent and due to varicose ulcer,Condition,SNOMED,Disorder,S,15944821000119103,2016-03-01,2099-12-31,NA
761729,Inflammation of lower leg due to varicose ulcer,Condition,SNOMED,Disorder,S,15944861000119108,2016-03-01,2099-12-31,NA
761730,Inflammation of left calf co-occurrent and due to varicose ulcer,Condition,SNOMED,Disorder,S,15945221000119103,2016-03-01,2099-12-31,NA
761731,Ulcer of right lower leg due to postphlebitic syndrome,Condition,SNOMED,Disorder,S,15946021000119104,2016-03-01,2099-12-31,NA
761732,Ulcer of left ankle due to postphlebitic syndrome,Condition,SNOMED,Disorder,S,15947821000119105,2016-03-01,2099-12-31,NA
761733,Right calf ulcer due to post thrombotic syndrome,Condition,SNOMED,Disorder,S,15948301000119106,2016-09-01,2099-12-31,NA
761734,Ulcer of right ankle due to postphlebitic syndrome,Condition,SNOMED,Disorder,S,15949061000119103,2016-03-01,2099-12-31,NA
762037,Stasis dermatitis of left lower extremity due to peripheral venous hypertension,Condition,SNOMED,Disorder,S,286131000119107,2015-09-01,2099-12-31,NA
762039,Stasis dermatitis and venous ulcer of left lower extremity due to chronic peripheral venous hypertension,Condition,SNOMED,Disorder,S,286161000119104,2015-09-01,2099-12-31,NA
762040,Stasis dermatitis and venous ulcer of right lower extremity due to chronic peripheral venous hypertension,Condition,SNOMED,Disorder,S,286171000119105,2015-09-01,2099-12-31,NA
764097,Ulcer of left lower leg due to postphlebitic syndrome,Condition,SNOMED,Disorder,S,450751000124109,2016-03-01,2099-12-31,NA
764937,Skin ulcer of right thigh,Condition,SNOMED,Disorder,S,8780001000004100,2015-09-01,2099-12-31,NA
765375,Ischemic ankle ulcer due to diabetes mellitus type 2,Condition,SNOMED,Disorder,S,140411000119101,2016-03-01,2099-12-31,NA
1075802,Venous ulcer of foot,Condition,SNOMED,Disorder,S,1332165009,2024-05-01,2099-12-31,NA
1075803,Venous ulcer of heel,Condition,SNOMED,Disorder,S,1332166005,2024-05-01,2099-12-31,NA
1075804,Venous ulcer of midfoot,Condition,SNOMED,Disorder,S,1332167001,2024-05-01,2099-12-31,NA
1075805,Venous ulcer of thigh,Condition,SNOMED,Disorder,S,1332168006,2024-05-01,2099-12-31,NA
1075806,Venous ulcer of ankle,Condition,SNOMED,Disorder,S,1332169003,2024-05-01,2099-12-31,NA
1075807,Venous ulcer of calf,Condition,SNOMED,Disorder,S,1332170002,2024-05-01,2099-12-31,NA
1075808,Venous ulcer of toe,Condition,SNOMED,Disorder,S,1332171003,2024-05-01,2099-12-31,NA
1075915,Traumatic ulcer of skin of lower limb,Condition,SNOMED,Disorder,S,1332477005,2024-05-01,2099-12-31,NA
1076441,Neuropathic ulcer of foot,Condition,SNOMED,Disorder,S,1343588005,2024-08-01,2099-12-31,NA
1076442,Neuropathic ulcer of lower leg,Condition,SNOMED,Disorder,S,1343589002,2024-08-01,2099-12-31,NA
1076443,Neuropathic ulcer of calf,Condition,SNOMED,Disorder,S,1343590006,2024-08-01,2099-12-31,NA
1076444,Neuropathic ulcer of thigh,Condition,SNOMED,Disorder,S,1343591005,2024-08-01,2099-12-31,NA
1076759,Venous ulcer of left midfoot,Condition,SNOMED,Disorder,S,168649391000119103,2024-05-01,2099-12-31,NA
1076774,Venous ulcer of toe of right foot,Condition,SNOMED,Disorder,S,199746291000119109,2024-05-01,2099-12-31,NA
1076865,Venous ulcer of right lower leg,Condition,SNOMED,Disorder,S,236653921000119103,2024-05-01,2099-12-31,NA
1076867,Venous ulcer of right heel,Condition,SNOMED,Disorder,S,274524231000119104,2024-05-01,2099-12-31,NA
1076869,Venous ulcer of left calf,Condition,SNOMED,Disorder,S,286174791000119107,2024-05-01,2099-12-31,NA
1077074,Venous ulcer of left foot,Condition,SNOMED,Disorder,S,338117701000119103,2024-05-01,2099-12-31,NA
1077130,Venous ulcer of left lower leg,Condition,SNOMED,Disorder,S,353043291000119101,2024-05-01,2099-12-31,NA
1077273,Venous ulcer of left heel,Condition,SNOMED,Disorder,S,444128991000119108,2024-05-01,2099-12-31,NA
1077334,Venous ulcer of right foot,Condition,SNOMED,Disorder,S,472729851000119109,2024-05-01,2099-12-31,NA
1077367,Venous ulcer of right calf,Condition,SNOMED,Disorder,S,565951401000119107,2024-05-01,2099-12-31,NA
1077407,Venous ulcer of right ankle,Condition,SNOMED,Disorder,S,669274571000119102,2024-05-01,2099-12-31,NA
1077443,Venous ulcer of right thigh,Condition,SNOMED,Disorder,S,779100741000119102,2024-05-01,2099-12-31,NA
1077463,Venous ulcer of right midfoot,Condition,SNOMED,Disorder,S,820048411000119105,2024-05-01,2099-12-31,NA
1077486,Venous ulcer of left thigh,Condition,SNOMED,Disorder,S,846429301000119107,2024-05-01,2099-12-31,NA
1077509,Venous ulcer of left ankle,Condition,SNOMED,Disorder,S,971608291000119105,2024-05-01,2099-12-31,NA
1077510,Venous ulcer of toe of left foot,Condition,SNOMED,Disorder,S,972900701000119109,2024-05-01,2099-12-31,NA
3167999,Ulcer of right second toe,Condition,Nebraska Lexicon,Clinical Finding,S,25940001000004106,2016-01-28,2099-12-31,NA
3172039,Ulcer of groin incision,Condition,Nebraska Lexicon,Clinical Finding,S,29550001000004108,2016-01-28,2099-12-31,NA
3176994,Chronic ulcer of right great toe,Condition,Nebraska Lexicon,Clinical Finding,S,25920001000004108,2016-01-28,2099-12-31,NA
3177169,Chronic venous hypertension with ulceration,Condition,Nebraska Lexicon,Clinical Finding,S,14720001000004108,2016-01-28,2099-12-31,NA
3177797,Ulcer of skin of midfoot,Condition,Nebraska Lexicon,Clinical Finding,S,8750001000004106,2016-01-28,2099-12-31,NA
3178526,Ulcers of bilateral great toes,Condition,Nebraska Lexicon,Clinical Finding,S,23760001000004102,2016-01-28,2099-12-31,NA
3178971,Diabetic ulcer of left great toe,Condition,Nebraska Lexicon,Clinical Finding,S,27900001000004101,2016-01-28,2099-12-31,NA
3182325,Calciphylaxis with nonhealing ulcer of leg,Condition,Nebraska Lexicon,Clinical Finding,S,18440001000004102,2016-01-28,2099-12-31,NA
3183485,Diabetic ulcer right great toe,Condition,Nebraska Lexicon,Clinical Finding,S,22570001000004104,2016-01-28,2099-12-31,NA
3183586,Postphlebitic inflammatory leg ulcer,Condition,Nebraska Lexicon,Clinical Finding,S,10250001000004100,2016-01-28,2099-12-31,NA
3187825,Right leg ulcer,Condition,Nebraska Lexicon,Clinical Finding,S,17250001000004108,2016-01-28,2099-12-31,NA
3654308,Ulcer of left foot,Condition,SNOMED,Disorder,S,830071006,2020-07-31,2099-12-31,NA
3654309,Ulcer of right foot,Condition,SNOMED,Disorder,S,830072004,2020-07-31,2099-12-31,NA
3655382,Ulcer of right foot due to diabetes mellitus,Condition,SNOMED,Disorder,S,860977000,2020-07-31,2099-12-31,NA
3655383,Ulcer of left foot due to diabetes mellitus,Condition,SNOMED,Disorder,S,860978005,2020-07-31,2099-12-31,NA
3655384,Chronic ulcer of right foot due to diabetes mellitus,Condition,SNOMED,Disorder,S,860979002,2020-07-31,2099-12-31,NA
3655385,Chronic ulcer of left foot due to diabetes mellitus,Condition,SNOMED,Disorder,S,860980004,2020-07-31,2099-12-31,NA
4032889,Mixed arteriovenous leg ulcer,Condition,SNOMED,Disorder,S,238792006,2002-01-31,2099-12-31,NA
4033352,Ischemic foot ulcer,Condition,SNOMED,Disorder,S,238794007,2002-01-31,2099-12-31,NA
4033354,Neuroischemic foot ulcer,Condition,SNOMED,Disorder,S,238796009,2002-01-31,2099-12-31,NA
4063569,Ischemic ulcer of foot due to diabetes mellitus,Condition,SNOMED,Disorder,S,201250006,2002-01-31,2099-12-31,NA
4065354,Neuropathic ulcer of foot due to diabetes mellitus,Condition,SNOMED,Disorder,S,201251005,2002-01-31,2099-12-31,NA
4066936,Mixed diabetic ulcer - foot,Condition,SNOMED,Disorder,S,201252003,2002-01-31,2099-12-31,NA
4103165,Ulcer of toe,Condition,SNOMED,Disorder,S,301021005,2002-01-31,2099-12-31,NA
4103166,Ulcer of malleolus,Condition,SNOMED,Disorder,S,301025001,2002-01-31,2099-12-31,NA
4110347,Infected varicose ulcer,Condition,SNOMED,Disorder,S,195450002,2002-01-31,2099-12-31,NA
4116485,Skin ulcer of calf,Condition,SNOMED,Disorder,S,300984006,2002-01-31,2099-12-31,NA
4116495,Ulcer of knee,Condition,SNOMED,Disorder,S,301024002,2002-01-31,2099-12-31,NA
4117109,Skin ulcer of dorsum of foot,Condition,SNOMED,Disorder,S,300982005,2002-01-31,2099-12-31,NA
4127117,Varicose ulcer of lower extremity,Condition,SNOMED,Disorder,S,304026004,2002-01-31,2099-12-31,NA
4132314,Chronic ulcer of lower extremity,Condition,SNOMED,Disorder,S,26649005,2002-01-31,2099-12-31,NA
4148076,Chronic neurogenic ulcer of lower limb,Condition,SNOMED,Disorder,S,35222003,2002-01-31,2099-12-31,NA
4159742,Diabetic foot ulcer,Condition,SNOMED,Disorder,S,371087003,2002-07-31,2099-12-31,NA
4171556,Ankle ulcer,Condition,SNOMED,Disorder,S,419193008,2006-01-31,2099-12-31,NA
4175831,Tropical phagedenic ulcer of leg,Condition,SNOMED,Disorder,S,427830002,2008-01-31,2099-12-31,NA
4179675,Chronic ulcer of ankle,Condition,SNOMED,Disorder,S,427921009,2008-01-31,2099-12-31,NA
4181965,Chronic ulcer of foot,Condition,SNOMED,Disorder,S,429445008,2008-01-31,2099-12-31,NA
4182571,Ischemic ulcer of toe,Condition,SNOMED,Disorder,S,429768000,2008-01-31,2099-12-31,NA
4196722,Varicose veins of leg in short saphenous vein distribution with ulcer,Condition,SNOMED,Disorder,S,313350005,2002-01-31,2099-12-31,NA
4197580,Varicose veins of leg in long saphenous vein distribution with ulcer,Condition,SNOMED,Disorder,S,313348002,2002-01-31,2099-12-31,NA
4199564,Ulceration of popliteal lymph node,Condition,SNOMED,Disorder,S,302093001,2002-01-31,2099-12-31,NA
4200203,Ulceration of inguinal lymph node,Condition,SNOMED,Disorder,S,302091004,2002-01-31,2099-12-31,NA
4204020,Ulcer of big toe,Condition,SNOMED,Disorder,S,308740002,2002-01-31,2099-12-31,NA
4204042,Ulcer of shin,Condition,SNOMED,Disorder,S,308908006,2002-01-31,2099-12-31,NA
4204817,Ulcer of lateral malleolus,Condition,SNOMED,Disorder,S,308901000,2002-01-31,2099-12-31,NA
4205677,Ulcer of medial malleolus,Condition,SNOMED,Disorder,S,308902007,2002-01-31,2099-12-31,NA
4267220,Chronic trophic ulcer of lower limb,Condition,SNOMED,Disorder,S,36347008,2002-01-31,2099-12-31,NA
4291465,Arteritic leg ulcer,Condition,SNOMED,Disorder,S,402862000,2003-07-31,2099-12-31,NA
4318374,Extensive lipodermatosclerosis,Condition,SNOMED,Disorder,S,95337003,2002-01-31,2099-12-31,NA
4324315,Chronic ulcer of thigh,Condition,SNOMED,Disorder,S,429354005,2008-01-31,2099-12-31,NA
4328818,Chronic ulcer of toe,Condition,SNOMED,Disorder,S,430935001,2008-07-31,2099-12-31,NA
36712682,Pressure injury of buttock stage II,Condition,SNOMED,Disorder,S,10637071000119109,2017-01-31,2099-12-31,NA
36712683,Pressure injury of buttock stage III,Condition,SNOMED,Disorder,S,10637111000119102,2017-01-31,2099-12-31,NA
36712684,Pressure injury of buttock stage IV,Condition,SNOMED,Disorder,S,10637151000119101,2017-01-31,2099-12-31,NA
36712686,Ulcer of left foot due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,10660471000119109,2017-01-31,2099-12-31,NA
36712687,Ulcer of right foot due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,10661671000119102,2017-01-31,2099-12-31,NA
37016107,Osteonecrosis of bone of lower leg due to chronic ulcer of lower leg,Condition,SNOMED,Disorder,S,10641431000119109,2016-01-31,2099-12-31,NA
37016108,Necrosis of lower leg muscle co-occurrent and due to chronic ulcer of lower leg,Condition,SNOMED,Disorder,S,10641511000119103,2016-01-31,2099-12-31,NA
37018496,Ulcerating cutaneous leishmaniasis of lower extremity,Condition,SNOMED,Disorder,S,715067004,2016-01-31,2099-12-31,NA
37108576,Venous stasis ulcer with edema of left lower leg,Condition,SNOMED,Disorder,S,10650831000119101,2017-07-31,2099-12-31,NA
37108577,Venous stasis ulcer with edema of right lower leg,Condition,SNOMED,Disorder,S,10652791000119106,2017-07-31,2099-12-31,NA
37155399,Chronic ulcer of right lower leg,Condition,SNOMED,Disorder,S,10641751000119105,2022-07-31,2099-12-31,NA
37155703,Pressure injury of hip stage IV,Condition,SNOMED,Disorder,S,29701000175106,2021-11-30,2099-12-31,NA
37155710,Pressure injury of left heel stage IV,Condition,SNOMED,Disorder,S,29941000175106,2022-02-28,2099-12-31,NA
37159859,Chronic ulcer of left toe,Condition,SNOMED,Disorder,S,10634711000119107,2022-07-31,2099-12-31,NA
37159860,Chronic ulcer of right toe,Condition,SNOMED,Disorder,S,10634911000119105,2022-07-31,2099-12-31,NA
37159861,Chronic ulcer of left foot,Condition,SNOMED,Disorder,S,10635631000119106,2022-07-31,2099-12-31,NA
37159862,Chronic ulcer of left heel,Condition,SNOMED,Disorder,S,10635831000119105,2022-08-31,2099-12-31,NA
